publisher,Number of publications
UNISINOS - Universidade do Vale do Rio Dos Sinos,66
Technoscience Academy,66
American Society of Mechanical Engineers,66
Oriental Scientific Publishing Company,66
Universitas Merdeka Malang,66
Plekhanov Russian University of Economics (PRUE),66
State University of Management,66
SPb RAACI,65
National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka),65
INION RAS,65
Informing Science Institute,65
Oman Medical Journal,65
University of Toronto Libraries - UOTL,65
Office of Scientific and Technical Information (OSTI),65
Daedalus Enterprises,65
Sunan Gunung Djati State Islamic University of Bandung,64
Residencia Pediatrica,64
Infectious Disease and Control Branch (IDPCB) - Public Health Agency of Canada,64
ASOS Yayinevi,64
Liverpool University Press,64
Open Access Pub,64
Asia-Pacific Applied Economics Association,64
Society of Petroleum Engineers (SPE),64
Universitas Islam Negeri Ar-Raniry,64
Limited Liability Company Publishing Service Internauka (Publications),63
UCL Press,63
PubPub,63
AFRICAJOURNALS,63
Veritas Publications LTD,63
International Journal for Innovation Education and Research,63
Equinox Publishing,63
Vilnius University Press,63
Korea Disease Control and Prevention Agency,62
Eurasian Society of Educational Research,62
Kutafin Moscow State Law University,62
Nomos Verlag,62
Transnational Press London,62
AACN Publishing,62
World Scientific and Engineering Academy and Society (WSEAS),61
Journal of Health Sciences and Medicine,61
New Terra,61
David Publishing Company,61
"European Scientific Institute, ESI",60
Crimson Publishers,60
Edinburgh University Press,60
Intersentia,60
UN Compliance Research Group,60
Universitas Hamzanwadi,60
Aga Khan University Hospital,60
Doc Design and Informatics Co. Ltd.,60
Longwoods Publishing,59
Xia & He Publishing,59
UIN Walisongo Semarang,59
Maulana Malik Ibrahim State Islamic University,59
American Academy of Sleep Medicine (AASM),59
Dustri-Verlgag Dr. Karl Feistle,59
Australasian College of Health Service Management,59
The Journal of Rheumatology,59
Medwave Estudios Limitada,59
European Medical Group,58
American Library Association,58
Goodwood Publishing,58
Fuji Technology Press Ltd.,58
National Academies Press,58
Journal of Surgery and Medicine,58
"Masters Program in Public Health, Sebelas Maret University",58
SciELO Agencia Nacional de Investigacion y Desarrollo (ANID),58
Hanif Medisiana Publisher,58
Universidade Federal do Tocantins,58
Cogitatio,58
Scientific Archives LLC,58
Aging and Disease,57
ASME International,57
Case Journals,57
Publishing House OKI,57
Universitas Negeri Makassar,56
ISTES Organization,56
Mansa STM Publishers,56
Open Engineering Inc,56
Atena Editora,56
The Association of Faculties of Medicine of Canada,56
Laplage em Revista,56
Classic Private University,56
EDITORA SCIENTIFIC,56
The Publishing Group Jurist,56
International Journal of Human and Health Sciences IJHHS,56
The Korean Society of Radiology,56
Research-publishing.net,56
Ural Federal University,56
Queen's University Library,56
"Science China Press., Co. Ltd.",56
Excellent Publishers,56
Lembaga Penelitian dan Pengabdian kepada Masyarakat Universitas Lampung,55
"Office of the Academic Executive Director, University of Tasmania",55
JCFCorp SG PTE LTD,55
Siree Journals,55
Sociedad Espanola de Patologia Digestiva (SEPD),55
Volgograd State University,55
National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka) (Publications),55
Medical Education Cooperation with Cuba,55
BMJ Publishing Group Ltd and British Society of Gastroenterology,54
"Universidade de Sao Paulo, Agencia USP de Gestao da Informacao Academica (AGUIA)",54
"Center for Journal Management and Publication, Lambung Mangkurat University",54
University of Victoria Libraries,54
Universitas Malahayati Bandar Lampung,54
Sciendo,54
Russkiy Vrach Publishing House,54
Sociedade Brasileira de Pneumologia e Tisiologia,54
LPPM Universitas Muhammadiyah Semarang,54
Africa Health Research Organization,54
American Academy of Family Physicians,54
Publishing House Baltija Publishing,54
"Bio-Byword Scientific Publishing, Pty. Ltd.",53
Academy and Industry Research Collaboration Center (AIRCC),53
Global Journals,53
Routledge India,53
Qatar University Press,53
LP2M Universitas Islam Negeri (UIN) Syarif Hidayatullah Jakarta,53
Annals of Clinical and Medical Case Reports,53
Southwest Jiaotong University,53
University of Chicago Press,53
IWA Publishing,53
American Society of Civil Engineers (ASCE),53
OpenEdition,52
UPT Penerbitan Universitas Jember,52
Universitas Muhammadiyah Surakarta,52
AIBPM Publisher,52
MedicHub Media,52
Franco Angeli,52
STIE Mahardika,52
Instituto de Investigaciones en Ciencias de la Salud,52
"Sci Forschen, Inc.",52
Bastas Publications,52
eSciPub LLC,52
ARAN Ediciones,52
